Intern_ID,Completion_Time,Feedback_Rating,Attendance,Performance_Score
INT0207,1.42,3.15,,96.77
INT0208,4.58,3.27,48.92,55.34
INT0209,1.43,1.8,9.28,61.66
INT0210,2.06,4.32,59.61,79.9
INT0211,4.49,4.0,34.34,84.11
INT0212,5.11,1.32,52.37,46.04
INT0213,5.17,2.27,62.04,42.81
INT0214,2.43,3.08,67.27,76.93
INT0215,4.82,5.0,91.66,82.64
INT0216,2.81,3.94,28.36,80.19
INT0217,2.76,4.29,,77.46
INT0218,5.12,2.06,71.97,47.8
INT0219,4.49,3.97,89.24,66.59
INT0220,6.32,2.16,98.81,45.2
INT0221,5.15,,61.99,68.47
INT0222,4.61,,57.88,80.61
INT0223,1.98,4.0,81.09,100.0
INT0224,3.06,1.84,68.2,62.31
INT0225,2.65,1.0,,57.38
INT0226,2.58,2.98,71.2,74.1
INT0227,7.0,3.63,61.4,61.02
INT0228,3.17,3.96,53.5,77.93
INT0229,6.81,3.37,76.78,47.68
INT0230,4.44,3.65,3.74,56.87
INT0231,,1.05,86.9,64.93
INT0232,4.15,3.12,66.37,58.41
INT0233,4.78,3.44,3.34,87.76
INT0234,3.49,4.5,88.45,70.81
INT0235,1.75,3.2,28.73,85.78
INT0236,4.9,2.32,11.96,52.28
INT0237,2.77,3.09,55.91,80.96
INT0238,1.25,1.0,3.33,78.44
INT0239,5.28,4.0,91.83,76.7
INT0240,2.03,2.9,64.76,60.79
INT0241,6.21,2.18,44.04,57.45
INT0242,6.43,1.66,89.64,45.35
INT0243,6.0,4.5,96.89,64.3
INT0244,3.5,3.07,88.96,72.88
INT0245,1.41,2.87,5.03,78.77
INT0246,7.0,3.87,62.13,73.31
INT0247,3.48,1.44,40.3,60.39
INT0248,6.32,5.0,61.68,58.89
INT0249,6.51,4.0,90.4,74.13
INT0250,6.21,2.68,69.35,37.4
INT0251,3.23,3.6,61.59,86.54
INT0252,2.91,1.01,,55.26
INT0253,5.73,,91.21,45.19
INT0254,,3.41,42.07,67.23
INT0255,,,72.01,97.53
INT0256,4.09,1.0,,49.12
INT0257,6.93,1.35,53.51,52.19
INT0258,4.81,4.61,97.41,67.83
INT0259,4.85,5.0,78.68,81.03
INT0260,1.28,1.8,54.1,67.66
INT0261,4.27,3.53,63.06,72.83
INT0262,6.78,1.72,93.29,64.95
INT0263,1.53,3.48,45.62,86.99
INT0264,4.14,5.0,96.36,90.39
INT0265,,4.09,53.24,60.4
INT0266,5.43,1.0,55.66,34.07
INT0267,5.34,1.88,79.84,59.19
INT0268,5.07,2.39,67.7,53.6
INT0269,2.69,2.04,73.21,67.28
INT0270,3.23,,66.4,69.27
INT0271,6.18,1.54,70.24,49.57
INT0272,5.43,2.53,91.13,59.18
INT0273,6.15,4.0,79.67,73.16
INT0274,,1.15,99.87,50.1
INT0275,3.76,2.69,89.34,87.43
INT0276,4.09,1.0,63.68,68.06
INT0277,5.82,3.29,63.22,58.39
INT0278,4.61,5.0,66.79,77.1
INT0279,4.85,2.24,92.16,58.56
INT0280,6.03,2.52,9.8,44.52
INT0281,6.16,1.64,27.5,43.47
INT0282,2.77,4.1,69.96,74.49
INT0283,3.49,3.7,81.99,88.46
INT0284,1.8,5.0,0.0,88.24
INT0285,4.25,2.24,60.96,48.52
INT0286,1.59,1.23,0.14,68.62
INT0287,3.98,1.71,94.69,69.64
INT0288,4.11,1.19,62.81,49.9
INT0289,2.65,1.48,50.2,77.44
INT0290,4.77,2.37,91.73,58.8
INT0291,1.0,4.69,0.07,85.31
INT0292,1.19,1.0,2.4,65.39
INT0293,6.09,3.87,75.92,47.45
INT0294,3.2,3.51,57.92,89.14
INT0295,1.87,2.74,66.3,79.46
INT0296,4.18,,57.83,85.64
INT0297,5.32,5.0,85.44,76.56
INT0298,2.2,3.24,76.97,74.23
INT0299,4.77,1.0,68.51,50.07
INT0300,1.79,5.0,18.48,87.01
INT0301,1.46,5.0,66.13,100.0
INT0302,4.12,4.0,64.66,73.02
INT0303,4.71,1.8,82.74,50.93
INT0304,4.43,4.79,52.01,74.55
INT0305,5.07,1.83,80.48,55.53
INT0306,6.7,1.9,85.86,64.18
INT0307,3.83,5.0,68.44,79.91
INT0308,3.07,3.54,60.77,62.92
INT0309,5.31,5.0,76.88,74.35
INT0310,2.3,2.04,91.66,69.28
INT0311,3.42,4.0,66.18,87.04
INT0312,1.65,2.93,62.62,70.75
INT0313,1.53,3.81,1.01,92.23
INT0314,7.0,2.81,76.31,43.63
INT0315,5.7,2.84,67.96,59.05
INT0316,5.25,2.13,14.07,55.72
INT0317,2.98,2.71,89.08,71.14
INT0318,1.85,1.0,84.96,67.25
INT0319,2.25,4.62,56.43,80.1
INT0320,2.46,1.0,99.25,74.15
INT0321,3.95,4.01,80.4,71.83
INT0322,5.23,2.81,0.0,55.53
INT0323,4.66,4.62,69.11,80.73
INT0324,2.57,1.0,94.93,56.25
INT0325,6.72,1.6,62.2,35.67
INT0326,5.28,1.0,64.29,50.89
INT0327,4.77,2.46,56.12,58.22
INT0328,4.73,,87.96,62.15
INT0329,3.86,2.77,79.78,67.59
INT0330,2.75,4.0,80.45,89.55
INT0331,3.3,3.65,60.92,74.7
INT0332,5.55,4.92,57.72,63.48
INT0333,1.0,1.8,2.6,67.15
INT0334,1.81,3.58,,84.1
INT0335,1.14,1.0,1.77,73.74
INT0336,1.0,4.95,0.29,88.64
INT0337,6.07,1.0,61.55,46.52
INT0338,5.46,1.0,27.09,53.19
INT0339,4.31,3.2,77.56,62.61
INT0340,1.46,4.24,98.48,100.0
INT0341,3.99,2.31,99.06,59.62
INT0342,4.19,1.26,64.09,71.53
INT0343,1.87,2.37,46.74,62.71
INT0344,3.24,4.62,53.15,75.38
INT0345,3.17,5.0,93.67,92.46
INT0346,5.1,2.54,78.43,60.35
INT0347,4.47,3.75,69.26,59.78
INT0348,1.1,5.0,9.09,92.66
INT0349,3.21,2.08,,79.05
INT0350,5.11,1.0,76.51,65.53
INT0351,4.46,4.11,64.15,64.49
INT0352,6.07,1.76,,63.74
INT0353,5.38,1.23,33.4,46.39
INT0354,1.64,4.08,80.09,93.69
INT0355,1.08,2.54,96.5,84.07
INT0356,5.3,1.0,92.83,56.42
INT0357,1.17,3.14,0.08,91.55
INT0358,4.2,2.31,,61.01
INT0359,6.63,1.0,71.16,40.36
INT0360,4.73,4.34,62.62,64.06
INT0361,3.66,4.0,99.17,95.43
INT0362,5.22,4.35,65.19,72.55
INT0363,3.82,4.63,66.19,79.58
INT0364,4.64,4.27,99.48,84.79
INT0365,6.66,1.0,56.7,27.63
INT0366,3.43,2.32,53.31,66.08
INT0367,7.0,2.27,96.79,69.86
INT0368,6.36,1.47,75.59,52.87
INT0369,1.74,2.41,50.13,75.99
INT0370,1.27,3.23,6.28,86.0
INT0371,1.72,2.26,55.58,71.69
INT0372,1.0,5.0,7.36,96.1
INT0373,1.22,2.81,65.68,87.78
INT0374,4.89,4.46,71.94,59.94
INT0375,1.0,5.0,48.91,98.94
INT0376,3.15,1.0,77.84,75.69
INT0377,5.83,1.51,,42.61
INT0378,1.0,2.85,1.52,90.54
INT0379,6.09,5.0,65.42,67.07
INT0380,3.03,2.11,65.42,86.25
INT0381,1.23,3.95,78.3,87.63
INT0382,4.91,1.83,65.03,63.56
INT0383,5.22,1.02,8.59,54.68
INT0384,6.15,3.45,68.06,73.53
INT0385,5.85,5.0,81.13,76.56
INT0386,5.59,1.0,61.54,40.08
INT0387,2.41,3.12,96.02,62.74
INT0388,1.77,3.9,78.75,100.0
INT0389,5.09,2.47,96.0,78.09
INT0390,6.24,4.0,52.32,71.44
INT0391,7.0,3.55,67.13,67.61
INT0392,3.93,,51.14,68.61
INT0393,3.58,2.59,63.61,74.37
INT0394,6.01,4.78,93.1,68.34
INT0395,3.2,2.0,51.83,48.54
INT0396,6.91,1.98,71.81,66.75
INT0397,5.86,1.02,55.88,54.57
INT0398,3.46,4.39,70.84,75.2
INT0399,5.65,2.01,91.94,66.46
INT0400,5.9,3.77,81.15,65.61
INT0401,1.78,2.49,86.84,74.15
INT0402,6.76,1.11,1.04,45.88
INT0403,4.0,3.24,,55.49
INT0404,6.18,1.58,52.26,44.68
INT0405,3.4,4.0,71.09,94.21
INT0406,6.02,1.0,71.32,36.49
INT0407,3.77,1.08,95.93,65.01
INT0408,1.09,1.36,9.12,84.2
INT0409,6.57,,85.32,63.85
INT0410,1.93,3.22,70.85,65.47
INT0411,2.83,,61.18,78.35
INT0412,6.62,2.14,86.18,65.83
INT0413,6.73,1.0,46.76,47.76
INT0414,3.96,1.15,75.07,61.18
INT0415,4.79,2.75,54.83,78.44
INT0416,3.48,4.0,60.41,74.0
INT0417,3.19,1.79,89.7,87.43
INT0418,2.56,1.0,66.5,65.72
INT0419,,,94.56,67.78
INT0420,5.96,2.24,66.07,61.87
INT0421,6.15,3.35,70.3,48.71
INT0422,5.94,2.59,90.42,58.5
INT0423,1.64,3.2,79.76,81.25
INT0424,3.75,1.31,13.64,62.62
INT0425,1.22,4.92,96.33,100.0
INT0426,,,76.8,80.96
INT0427,3.94,3.89,75.75,67.0
INT0428,6.15,4.0,7.48,65.44
INT0429,3.28,1.0,0.0,51.6
INT0430,1.56,5.0,50.37,80.71
INT0431,1.82,2.41,95.66,66.58
INT0432,5.63,1.0,70.42,44.42
INT0433,5.01,5.0,73.43,66.16
INT0434,1.32,1.0,92.27,78.82
INT0435,1.4,5.0,80.46,100.0
INT0436,4.84,2.25,80.48,61.5
INT0437,1.02,1.95,3.23,65.93
INT0438,6.03,,91.7,65.66
INT0439,4.93,4.42,,49.97
INT0440,1.05,3.18,52.66,65.0
INT0441,1.91,3.57,59.58,84.26
INT0442,6.95,3.04,63.39,62.45
INT0443,2.88,3.41,64.12,77.19
INT0444,2.77,5.0,83.53,91.12
INT0445,5.5,2.87,60.89,41.71
INT0446,6.65,4.66,83.83,70.34
INT0447,7.0,4.18,54.56,44.28
INT0448,5.66,,22.49,60.76
INT0449,2.9,3.7,75.44,66.09
INT0450,1.63,5.0,96.09,100.0
INT0451,5.56,2.92,92.98,75.21
INT0452,4.31,5.0,98.44,94.05
INT0453,3.85,4.0,82.52,83.29
INT0454,6.27,3.61,7.99,78.85
INT0455,1.32,,52.78,93.02
INT0456,4.33,1.0,81.14,65.9
INT0457,1.0,1.81,8.93,65.44
INT0458,3.6,4.08,77.19,64.1
INT0459,1.55,,69.3,64.26
INT0460,,1.1,72.13,81.44
INT0461,2.01,4.62,76.18,80.28
INT0462,4.58,3.9,56.42,55.05
INT0463,5.33,2.9,67.97,73.48
INT0464,4.13,5.0,53.17,74.97
INT0465,6.81,2.45,63.22,49.63
INT0466,3.04,3.28,55.93,62.84
INT0467,2.9,3.5,30.66,64.59
INT0468,5.71,2.24,94.56,52.72
INT0469,1.9,3.19,74.14,86.29
INT0470,6.71,2.9,29.94,53.32
INT0471,1.53,4.09,6.54,83.77
INT0472,7.0,5.0,55.79,59.94
INT0473,1.75,4.0,6.72,87.14
INT0474,6.27,1.8,52.6,30.65
INT0475,3.72,3.66,47.12,74.06
INT0476,6.77,1.74,90.33,57.61
INT0477,1.62,3.78,79.3,78.08
INT0478,3.96,2.0,80.32,49.51
INT0479,6.62,2.75,60.03,45.08
INT0480,3.7,1.0,67.19,60.49
INT0481,4.75,1.01,6.08,61.45
INT0482,4.88,4.58,,58.98
INT0483,3.32,4.88,92.9,88.52
INT0484,4.68,1.0,74.18,56.5
INT0485,4.36,1.0,91.86,51.73
INT0486,6.45,5.0,65.9,67.32
INT0487,1.52,1.8,0.05,61.27
INT0488,2.3,2.75,87.58,97.09
INT0489,6.99,2.51,89.25,58.54
INT0490,5.87,3.89,3.17,40.87
INT0491,3.67,1.79,,62.47
INT0492,4.81,2.64,54.22,40.62
INT0493,3.12,3.54,53.43,56.53
INT0494,2.2,2.35,42.71,64.24
INT0495,,3.25,25.56,79.17
INT0496,3.14,1.8,98.04,63.92
INT0497,4.4,,32.33,67.16
INT0498,1.45,4.16,51.26,76.05
INT0499,6.55,2.99,80.14,45.46
INT0500,6.92,1.94,64.48,29.47
INT0501,4.84,1.0,71.65,46.69
INT0502,4.46,2.71,51.0,50.05
INT0503,2.95,4.76,53.23,71.47
INT0504,5.46,1.27,16.72,55.16
INT0505,5.5,4.99,36.85,75.5
INT0506,2.1,3.53,51.34,74.58
INT0507,6.29,2.61,82.28,51.2
INT0508,5.49,3.85,59.26,51.66
INT0509,6.83,2.85,60.31,59.33
INT0510,5.22,2.89,3.56,49.08
INT0511,5.09,3.09,58.95,41.94
INT0512,3.04,4.82,82.86,73.96
INT0513,6.14,3.91,99.72,52.13
INT0514,6.65,1.0,82.61,51.99
INT0515,1.73,3.39,9.85,88.82
INT0516,1.0,3.78,8.78,78.62
INT0517,3.48,3.28,26.57,73.62
INT0518,5.58,1.18,95.55,70.63
INT0519,7.0,3.76,98.45,65.97
INT0520,2.27,,,81.17
INT0521,4.16,,42.38,58.72
INT0522,3.03,1.72,88.51,81.93
INT0523,6.34,4.0,56.62,64.86
INT0524,5.59,3.53,7.32,59.34
INT0525,5.56,,90.95,58.58
INT0526,4.11,2.06,56.25,71.96
INT0527,3.29,4.13,98.84,78.6
INT0528,2.63,2.08,99.28,63.15
INT0529,1.63,3.57,96.84,100.0
INT0530,6.18,2.72,74.8,34.37
INT0531,5.81,2.99,62.3,66.9
INT0532,6.51,3.84,79.1,64.88
INT0533,7.0,4.0,32.39,67.19
INT0534,3.95,1.8,60.3,43.65
INT0535,5.87,4.99,71.18,66.83
INT0536,6.43,1.71,45.35,48.91
INT0537,6.27,2.12,,40.76
INT0538,2.63,1.0,6.68,55.68
INT0539,3.82,3.05,50.89,65.65
INT0540,1.54,2.72,87.47,78.71
INT0541,,1.0,82.03,44.52
INT0542,5.0,5.0,53.13,63.66
INT0543,1.88,4.75,76.51,95.9
INT0544,4.71,3.07,12.25,64.18
INT0545,4.82,3.62,54.17,84.79
INT0546,3.47,1.64,67.9,71.08
INT0547,1.54,4.0,89.39,99.04
INT0548,5.18,,51.71,74.08
INT0549,4.18,1.19,95.32,60.82
INT0550,5.19,,64.77,56.45
INT0551,4.24,1.74,78.07,64.81
INT0552,6.42,1.61,74.1,57.71
INT0553,4.8,4.1,16.52,62.52
INT0554,3.9,2.33,78.1,72.45
INT0555,6.42,3.8,70.47,59.91
INT0556,3.33,4.64,88.64,74.86
INT0557,1.31,1.8,70.19,63.63
INT0558,1.28,4.23,8.95,100.0
INT0559,5.15,1.24,55.07,42.85
INT0560,4.6,3.89,56.65,76.48
INT0561,4.98,,28.11,39.89
INT0562,2.14,5.0,52.28,83.62
INT0563,1.81,1.16,77.07,62.05
INT0564,1.0,1.0,6.59,78.73
INT0565,3.15,2.79,80.52,53.56
INT0566,4.28,3.62,78.75,73.45
INT0567,3.49,2.4,,92.07
INT0568,3.97,1.74,66.98,59.71
INT0569,6.14,5.0,68.1,71.35
INT0570,3.1,2.36,65.71,75.3
INT0571,4.23,3.32,85.61,78.09
INT0572,5.76,2.38,58.08,69.88
INT0573,3.25,3.79,0.0,57.46
INT0574,4.87,4.02,79.81,55.08
INT0575,5.7,3.62,97.12,79.83
INT0576,6.57,4.0,7.87,74.47
INT0577,1.91,5.0,89.15,97.39
INT0578,6.08,5.0,57.67,68.51
INT0579,3.96,1.0,44.54,55.96
INT0580,2.7,5.0,65.56,93.05
INT0581,4.01,1.64,91.21,69.14
INT0582,6.49,,61.24,72.98
INT0583,4.45,2.69,66.81,66.81
INT0584,3.08,3.02,61.19,75.39
INT0585,4.66,2.12,72.61,68.28
INT0586,2.19,1.0,94.25,73.79
INT0587,1.53,2.9,67.26,63.43
INT0588,2.15,2.58,36.65,94.26
INT0589,1.79,4.0,93.02,99.27
INT0590,2.07,1.36,75.77,66.66
INT0591,1.69,4.91,0.0,86.51
INT0592,4.74,5.0,93.04,71.0
INT0593,1.88,1.64,34.73,70.97
INT0594,3.28,1.02,84.08,68.26
INT0595,6.24,3.44,54.28,66.89
INT0596,3.53,3.6,58.93,71.43
INT0597,,3.99,70.22,63.72
INT0598,2.38,3.24,47.29,84.94
INT0599,2.39,1.8,98.29,65.46
INT0600,1.08,1.9,3.45,82.81
INT0601,2.42,1.0,92.56,70.24
INT0602,2.24,2.63,65.78,63.82
INT0603,1.61,2.65,98.2,93.56
INT0604,1.16,2.65,51.66,97.86
INT0605,1.34,3.42,37.3,69.14
INT0606,3.35,1.63,85.08,61.39
INT0607,2.4,5.0,50.83,78.29
INT0608,3.29,5.0,57.31,82.69
INT0609,4.17,2.99,91.48,81.49
INT0610,5.33,4.0,6.2,75.02
INT0611,1.5,2.95,8.94,84.87
INT0612,5.51,3.81,1.15,66.37
INT0613,4.89,1.8,95.26,52.57
INT0614,1.57,1.39,81.58,79.08
INT0615,6.68,1.56,69.91,55.19
INT0616,6.26,2.05,56.02,51.26
INT0617,1.0,3.72,64.69,96.01
INT0618,2.81,5.0,98.92,94.57
INT0619,6.08,,71.87,37.97
INT0620,5.27,1.0,73.59,43.44
INT0621,2.18,1.43,3.21,72.07
INT0622,1.82,2.96,,70.08
INT0623,3.68,4.26,80.2,81.4
INT0624,3.52,5.0,6.49,83.84
INT0625,4.28,5.0,69.47,81.01
INT0626,2.75,2.61,51.45,70.61
INT0627,3.71,4.0,69.44,89.6
INT0628,5.08,3.9,97.46,66.11
INT0629,1.46,3.43,,80.17
INT0630,2.91,1.1,97.18,82.05
INT0631,,2.22,59.81,70.03
INT0632,6.5,,84.23,69.48
INT0633,3.61,2.68,92.23,57.29
INT0634,4.08,1.47,80.03,63.99
INT0635,,2.26,56.72,68.92
INT0636,3.41,,69.56,89.85
INT0637,4.34,2.58,98.56,75.18
INT0638,2.08,2.02,67.56,79.73
INT0639,2.98,4.8,93.39,85.73
INT0640,3.42,1.86,54.66,53.64
INT0641,1.33,1.29,0.0,87.18
INT0642,3.37,3.58,67.55,81.63
INT0643,2.71,2.7,52.58,70.15
INT0644,3.01,,55.95,85.87
INT0645,1.72,2.66,32.94,64.36
INT0646,6.18,1.8,91.89,41.05
INT0647,4.78,4.37,17.04,71.12
INT0648,5.11,5.0,64.94,72.34
INT0649,6.17,,50.51,67.11
INT0650,3.73,2.72,20.94,73.43
INT0651,1.33,5.0,81.02,95.09
INT0652,4.04,2.31,82.25,82.4
INT0653,4.83,3.38,45.86,75.79
INT0654,5.07,2.28,60.41,56.51
INT0655,3.55,4.13,86.02,66.31
INT0656,1.7,3.74,90.56,97.79
INT0657,2.27,3.53,56.93,64.99
INT0658,3.09,2.96,74.34,70.03
INT0659,4.89,2.58,62.44,59.11
INT0660,3.99,4.06,58.41,59.26
INT0661,3.15,2.68,86.72,78.6
INT0662,7.0,2.79,46.51,31.27
INT0663,5.11,5.0,24.75,79.83
INT0664,2.45,3.58,65.5,73.68
INT0665,1.63,1.36,98.33,91.86
INT0666,1.71,1.36,92.43,72.85
INT0667,2.98,1.0,94.0,57.29
INT0668,1.73,3.58,73.0,63.66
INT0669,2.07,5.0,81.19,84.48
INT0670,2.21,3.0,68.84,53.55
INT0671,1.89,2.64,30.91,85.48
INT0672,5.95,1.8,70.05,43.47
INT0673,1.72,3.42,79.7,64.99
INT0674,4.21,3.33,64.36,49.68
INT0675,3.53,2.66,92.4,53.48
